AGE_GROUP,DEATH_COUNT,DEATH_RATE,CASE_RATE,TEST_RATE
0-17,20,1.17,2770.79,13911.2
18-24,36,5.11,6539.08,27679.449
25-34,208,14.02,6642.18,33398.014
35-44,558,49.08,7432.54,38126.899
45-54,1423,138.41,8091.82,40905.293
55-64,3427,343.07,8123.42,42318.207
65-74,5503,765.59,7192.59,39710.349
75+,11316,2014.92,7591.92,29829.775
